MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			IDA		J:172936 	
MGI:104847	Adora3	adenosine A3 receptor	3		phosphatidylinositol 3-kinase/protein kinase B signal transduction	happens in mast cell		IDA		J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	positively regulates phosphatidylinositol 3-kinase/protein kinase B signal transduction		IDA		J:84007 	
MGI:3580016	Agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	10		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			IEA	ENSRNOP00000029533 Q8CGU4 	J:342605 	
MGI:3580016	Agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	10		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			ISO	RGD:628844 	J:155856 	
MGI:87963	Agt	angiotensinogen	8		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			ISO	P01019 	J:164563 	
MGI:2686159	Aim2	absent in melanoma 2	1		negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			IDA		J:224547 	
MGI:2686159	Aim2	absent in melanoma 2	1		negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			IDA		J:228671 	
MGI:2686159	Aim2	absent in melanoma 2	1		negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			IDA		J:305800 	
MGI:2145420	Akr1c18	aldo-keto reductase family 1, member C18	13		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			ISO	P42330 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		phosphatidylinositol 3-kinase/protein kinase B signal transduction	happens in fibroblast		IGI	MGI:102548 	J:91846 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		phosphatidylinositol 3-kinase/protein kinase B signal transduction	happens in fibroblast		IGI	MGI:1270849 	J:91846 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		phosphatidylinositol 3-kinase/protein kinase B signal transduction	happens in fibroblast		IGI	MGI:1927343 	J:91846 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		phosphatidylinositol 3-kinase/protein kinase B signal transduction	happens in fibroblast		IGI	MGI:99454 	J:91846 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		phosphatidylinositol 3-kinase/protein kinase B signal transduction			ISO	P31749 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		phosphatidylinositol 3-kinase/protein kinase B signal transduction			ISO	RGD:2082 	J:155856 	
MGI:2443564	Ambra1	autophagy/beclin 1 regulator 1	2		positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			IEA	ENSP00000508322 Q9C0C7 	J:342605 	
