MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1351646	Abca7	ATP-binding cassette, sub-family A member 7	10		negative regulation of MAPK cascade	happens in neuron		IMP		J:231748 	
MGI:1351646	Abca7	ATP-binding cassette, sub-family A member 7	10		positive regulation of ERK1 and ERK2 cascade			IMP		J:112621 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C member 9	6		MAPK cascade			IMP		J:125417 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		ERK1 and ERK2 cascade	happens in duct epithelial cell		IMP	MGI:104738 	J:190763 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		negative regulation of ERK1 and ERK2 cascade	negatively regulates ERK1 and ERK2 cascade		IMP	MGI:104738 	J:190763 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of ERK1 and ERK2 cascade			IMP		J:140959 	
MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1		positive regulation of ERK1 and ERK2 cascade			IGI	MGI:99511 	J:140959 	
MGI:1917258	Ace2	angiotensin converting enzyme 2	X		negative regulation of ERK1 and ERK2 cascade			IEA	ENSRNOP00000070410 Q5EGZ1 	J:342605 	
MGI:1917258	Ace2	angiotensin converting enzyme 2	X		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:728890 	J:155856 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade	happens in fibroblast		IGI	MGI:1341264 MGI:95294 	J:200277 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade	happens in fibroblast		IGI	MGI:1341264 MGI:98397 	J:200277 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade			ISO	P25106 	J:164563 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade			ISS	P25106 	J:342587 	
MGI:87909	Acta2	actin alpha 2, smooth muscle, aorta	19		positive regulation of ERK1 and ERK2 cascade			IEA	ENSRNOP00000073101 P62738 	J:342605 	
MGI:87909	Acta2	actin alpha 2, smooth muscle, aorta	19		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:621676 	J:155856 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of MAPK cascade	is a part of positive regulation of innate immune response		IDA		J:172936 	
MGI:105376	Adam9	ADAM metallopeptidase domain 9	8		positive regulation of MAP kinase activity			ISO	Q13443 	J:164563 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:620404 	J:155856 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			IBA	P18509 PTN002598721 Q29W19 RGD:2037 	J:161428 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2037 	J:155856 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			ISO	P18509 	J:164563 	
